name,latitude,longitude
기흥초등학교 앞 (공세동,37.231961067610904,127.1088087505204
공세동 코스트코삼거리,37.23814146731573,127.10719056733232
한보라마을입구 삼거리(고가도로방면,37.24378390882517,127.10507264845327
한일초교입구 삼거리,37.24407336863758,127.10633535788335
한보라마을 보라중건너편-1,37.25036928627458,127.10647946326135
한보라마을 보라중건너편-2,37.250348992540204,127.10650197778035
보라동 쌍용APT-1,37.255813180328765,127.11900225301806
보라동 쌍용APT-2,37.255810978695976,127.11895152397801
죽전 새터마을APT 앞,37.331595299949285,127.12302300839349
죽전 SK죽전물류센터 앞,37.329975224323924,127.12771991142551
죽전 단국대 야외음악당,37.324383567283164,127.12419592227623
죽전 중앙공원입구,37.320362203304995,127.11580961130957
죽전 엑스파크공원옆 (이마트쪽,37.321889211179126,127.11136958311653
